"Player","PA","PC","PC %","Team"
"Taulant Xhaka",51,48,"94%","Albania"
"Tomáš Rosický",51,35,"69%","Czech Republic"
"Ladislav Krejčí",50,42,"84%","Czech Republic"
"Harry Kane",50,36,"72%","England"
"Arlind Ajeti",49,43,"88%","Albania"
"Jordan Lukaku",48,45,"94%","Belgium"
"John O'Shea",48,38,"79%","Republic of Ireland"
"Ciaran Clark",47,42,"89%","Republic of Ireland"
"Angelo Ogbonna",47,42,"89%","Italy"
"Dmitri Kombarov",47,40,"85%","Russia"
"Tomáš Hubočan",47,39,"83%","Slovakia"
"Alexandru M�<U+0083>ţel",46,44,"96%","Romania"
"Nuri �<U+009E>ahin",46,43,"93%","Turkey"
"Aaron Hughes",46,33,"72%","Northern Ireland"
"Shane Duffy",46,32,"70%","Republic of Ireland"
"Viktor Pečovský",45,41,"91%","Slovakia"
"Ermir Lenjani",45,35,"78%","Albania"
"David Limberský",45,34,"76%","Czech Republic"
"Yohan Cabaye",44,40,"91%","France"
"Ádám Szalai",44,36,"82%","Hungary"
"Mario Gomez",43,32,"74%","Germany"
"Matteo Darmian",43,31,"72%","Italy"
"Armando Sadiku",43,26,"60%","Albania"
"Nathaniel Clyne",42,39,"93%","England"
"David Pavelka",42,36,"86%","Czech Republic"
"James McClean",42,33,"79%","Republic of Ireland"
"Andi Lila",42,33,"79%","Albania"
"Tomáš Necid",42,22,"52%","Czech Republic"
"Hakan �<U+0087>alhano�<U+009F>lu",41,33,"80%","Turkey"
"Breel Embolo",41,31,"76%","Switzerland"
"Alexandru Chipciu",41,30,"73%","Romania"
"Dušan Švento",41,29,"71%","Slovakia"
"Tin Jedvaj",40,37,"93%","Croatia"
"Stefano Sturaro",40,31,"78%","Italy"
"Milan Škriniar",39,36,"92%","Slovakia"
"Krisztián Németh",39,28,"72%","Hungary"
"Jamie Ward",39,27,"69%","Northern Ireland"
"Jason Denayer",38,37,"97%","Belgium"
"David Edwards",38,36,"95%","Wales"
"Martin Harnik",38,29,"76%","Austria"
"Ákos Elek",37,33,"89%","Hungary"
"Norbert Gyömber",37,33,"89%","Slovakia"
"Volkan �<U+009E>en",37,30,"81%","Turkey"
"Lucian Sânm�<U+0083>rtean",36,31,"86%","Romania"
"Ryan Bertrand",35,33,"94%","England"
"Salvatore Sirigu",35,33,"94%","Italy"
"Richard Keogh",35,32,"91%","Republic of Ireland"
"André-Pierre Gignac",35,30,"86%","France"
"Gabriel Torje",35,26,"74%","Romania"
"Gelson Fernandes",34,32,"94%","Switzerland"
"André Schürrle",33,31,"94%","Germany"
"Odise Roshi",33,24,"73%","Albania"
"Mikael Lustig",32,27,"84%","Sweden"
"Oscar Lewicki",32,27,"84%","Sweden"
"Adrian Popa",32,25,"78%","Romania"
"İsmail Köyba�<U+009F>ı",31,27,"87%","Turkey"
"Daniel Pudil",31,25,"81%","Czech Republic"
"Zoltán Stieber",31,24,"77%","Hungary"
"John Guidetti",30,25,"83%","Sweden"
